Symbol,Fincode,ISIN,Latest_Date,Latest_Close,Latest_Volume,Turnover,1_Week,1_Month,3_Months,6_Months,9_Months,1_Year,3_Years,5_Years,Raw_Score,Normalized_Score
20MICRONS,207635,INE144J01027,2025-09-09,227.02,105914,23272406.72655556,-2.3821809425524565,-2.0832434763855874,-3.177378769138904,17.22606630176599,-10.801147302660006,-27.91871725670741,119.2370835345244,676.1367521367522,-618.3706141610155,26.39181295853419
21STCENMGM,126921,INE253B01015,2025-09-09,53.49,6139,428016.8779444444,0.5073280721533316,-5.411140583554368,-18.929978781448924,-18.273491214667686,-42.40335953483364,-60.64596821659799,101.84905660377359,411.866028708134,-3785.029089792677,5.540743597308278
360ONE,228974,INE466L01038,2025-09-09,1043.9,819360,864808988.8,1.8637782982045412,0.10548523206752364,-3.97387544844079,20.703012083020184,-12.025956514410908,-5.388136130874139,138.71484107020356,327.69640479360856,-171.62741965010957,29.333422673343872
3IINFOLTD,132628,INE748C01038,2025-09-09,23.19,119490,2986911.445,-0.8974358974358859,1.7551557700746037,-13.080959520239874,4.084380610412927,-29.060874885286008,-29.341864716636195,-55.87059942911512,,-1991.7383201905843,17.348783684220635
3MINDIA,123395,INE470A01017,2025-09-09,30830.0,10275,302205214.6458334,-0.836281762624638,-2.4829985766250195,5.1321398124467175,10.579871809126876,-2.4435007689338106,-11.72626265373817,34.98278236160762,64.63652335510332,85.36499247347425,31.025605980048184
3PLAND,116092,INE105C01023,2025-09-09,44.98,5194,249521.7798888889,-0.19968937208787088,-2.1961295933898786,-20.865587614356098,10.002445585717771,-30.371517027863774,-0.6625441696113168,149.88888888888886,542.5714285714286,-1477.7288192888368,20.733312782671508
5PAISA,228972,INE618L01018,2025-09-09,372.2,7048,2756449.3066666666,2.7325420921887873,0.7852694286487888,-10.582582582582585,13.683567501527188,-24.65587044534413,-26.56604518102003,7.5411730713666465,6.4645308924485025,-1447.8837927470388,20.929829307361317
63MOONS,126881,INE111B01023,2025-09-09,940.0,541367,458353483.4605555,1.6985827112409442,2.9234643600131442,3.3819081660709376,38.43888070692195,10.21221714151718,117.3913043478261,418.9069831631245,1208.2811412665276,3772.5998508418998,55.3044445016649
A2ZINFRA,207654,INE619I01012,2025-09-09,19.89,26663,497207.1801666668,-4.832535885167455,3.3246753246753276,6.19327282434597,14.971098265895952,-5.912961210974456,18.041543026706226,57.85714285714286,337.14285714285717,620.174936104441,34.547096950904525
AAATECH,299993,INE0D0U01013,2025-09-09,79.48,123479,10679863.348666666,0.2269861286254815,-9.465770588905343,-11.757521927389798,17.227138643067857,-30.010567101091933,-41.82403747621139,-11.688888888888885,,-1805.5053097869002,18.575047093160723
AADHARHFC,313099,INE883F01010,2025-09-09,512.4,405773,180589837.22361112,0.8860011813349086,1.7070265978562853,14.90077362933064,23.57409863740504,16.78632478632478,19.607843137254903,,,2008.4113948879185,43.68803049793092
AAKASH,288691,INE087Z01024,2025-09-09,10.09,66391,626845.3800555555,-2.6061776061776025,0.5982053838484597,18.011695906432738,19.83372921615202,-6.487488415199253,-18.825422365245373,-27.670250896057347,88.5981308411215,304.1455903132567,32.466181102232085
