Symbol,Fincode,ISIN,Latest_Date,Latest_Close,Latest_Volume,1_Week,1_Month,3_Months,6_Months,1_Year,3_Years,5_Years
20MICRONS,207635,INE144J01027,2025-08-22,234.36,144509,2.497266564618416,-15.706938100205,-3.5952283011106463,27.793227547848865,-30.10438413361169,115.50344827586207,638.1417322834646
21STCENMGM,126921,INE253B01015,2025-08-22,56.0,2153,-0.08920606601248378,-5.052560189894875,-19.851152139687997,-15.138657372329135,-47.766066598265084,95.80419580419579,435.8851674641149
360ONE,228974,INE466L01038,2025-08-22,1077.6,742717,3.7650457390466934,-4.213333333333341,5.911838419578344,9.819108280254769,-1.8713290534080207,156.8542740517832,285.18386131093337
3IINFOLTD,132628,INE748C01038,2025-08-22,23.68,585599,6.66666666666667,-1.8648984666390356,-6.180665610142626,-7.752239968835223,-33.14511575381141,-46.84624017957351,
3IINFOLTD_1,312914,INE748C01038,2021-08-27,8.45,7106212,15.75342465753424,-11.979166666666671,-6.11111111111112,37.398373983739816,108.64197530864197,141.42857142857142,60.952380952380935
3MINDIA,123395,INE470A01017,2025-08-22,30550.0,3867,0.6589785831960462,-3.0927835051546393,1.511879049676026,11.724284214876342,-13.51893029569166,36.54027938241782,48.201330658756135
3PLAND,116092,INE105C01023,2025-08-22,47.98,10138,-3.557788944723624,0.6714225765841383,12.54984752521697,12.26017781937294,7.026544724514832,146.68380462724934,585.4285714285714
5PAISA,228972,INE618L01018,2025-08-22,369.0,12264,1.485148514851479,-6.0829727666072735,-8.22037060067156,0.0,-28.833172613307617,33.06887847097006,4.814657008947589
63MOONS,126881,INE111B01023,2025-08-22,960.2,183702,3.236211160090315,-11.338873499538316,22.842704535277946,40.44171420213544,186.4131245339299,427.72739763671336,1052.009598080384
A2ZINFRA,207654,INE619I01012,2025-08-22,18.56,222933,-4.477611940298512,-11.068519405845723,7.159353348729783,5.275099262620532,-7.661691542288571,43.87596899224805,303.47826086956525
AAATECH,299993,INE0D0U01013,2025-08-22,80.74,21582,-3.9038324208521797,-13.683985460765461,-4.415768912039782,-2.711170020484396,-35.2837447899968,6.2834576568669975,
AADHARHFC,313099,INE883F01010,2025-08-22,521.85,620900,4.140890041907803,0.98693759071118,17.309205350118017,37.41935483870969,28.07706467051173,,
AAKASH,288691,INE087Z01024,2025-08-22,10.62,84343,1.9193857965450989,6.841046277665994,26.428571428571413,21.92881745120549,-18.118735543562074,-15.714285714285717,163.8509316770186
AAREYDRUGS,124412,INE198H01019,2025-08-22,63.03,26736,-4.209726443768991,-7.904734073641142,15.651376146788992,51.04241552839686,4.009900990099009,79.06249999999999,
AARON,290393,INE721Z01010,2025-08-22,215.0,47100,-5.774076914648848,5.586249232658073,6.925276638070378,32.04360509749733,59.17083101980383,231.53430994602934,1538.5410996189466
AARTECH,292026,INE01C001026,2025-08-22,60.68,13091,-2.065848934796645,-12.60262134523982,4.171673819742488,-4.0328957773208876,-13.487311092101512,,
AARTIDRUGS,124348,INE767A01016,2025-08-22,483.05,160183,-0.7397513613479844,-9.642723531612422,1.8663011387600217,24.4653439835094,-14.360429039978717,8.942264321154722,-38.34125793790088
AARTIIND,124208,INE769A01020,2025-08-22,382.3,419905,1.6484977399627727,-10.468384074941449,-18.53824845514596,-7.354901248031011,-38.85156749840051,-51.65960675222861,-34.98852138423602
AARTIPHARM,308020,INE0LRU01027,2025-08-22,863.25,294146,13.952874397729529,-8.83409018903791,-0.3635734072022135,12.939098580493228,29.53931572629052,,
AARTISURF,299121,INE09EO01013,2025-08-22,474.25,3341,0.561916878710767,-16.173221387538668,-19.11827406838919,-2.5179856115107913,-26.948552064078875,-34.92946876347898,4.156474253267774
AARVEEDEN,114274,INE273D01019,2025-08-22,188.01,12929,5.0511258870201665,9.556552648447045,37.173500656646716,24.32879248776616,345.9440227703985,735.6,1486.5822784810125
AARVI,207660,INE754X01016,2025-08-22,121.54,85271,-2.078633580406057,14.563106796116507,10.61157626501639,7.253794564066372,-23.279888902916287,7.367491166077741,173.43082114735657
AAVAS,267615,INE216P01012,2025-08-22,1650.0,220215,-0.48250904704463204,-13.208142654252796,-7.500840901446349,-2.4101730001478634,-2.6060266210193954,-26.25203924285427,14.349076544578809
ABAN,123204,INE421A01028,2025-08-22,49.55,579411,16.014984781081704,-1.530206677265507,20.325400679941712,27.08386765837393,-42.5773554293661,6.216505894962484,70.27491408934706
ABB,100002,INE117A01022,2025-08-22,5063.0,219900,0.6560636182902585,-11.346524251444581,-15.064586478778727,-4.316437993725661,-35.58155365129047,76.52801506223634,415.13455766393645
ABBOTINDIA,100488,INE358A01014,2025-08-22,31875.0,6997,-4.178566060423869,-8.233769972650066,3.507062834875792,10.134251493074927,9.323446492389378,70.90648801241787,89.2786627276911
ABCAPITAL,242461,INE674K01013,2025-08-22,286.35,4034083,4.8901098901098985,6.608339538346984,28.818210445814042,82.06383519837235,28.25278810408922,158.67208672086724,355.97133757961785
ABDL,313126,INE552Z01027,2025-08-22,522.1,294326,6.182631685987397,10.217437196537901,32.06019982294169,57.259036144578324,56.83388404926406,,
ABFRL,210591,INE647O01011,2025-08-22,81.25,87482262,8.333333333333332,7.289053215370389,-8.243929983060415,-2.949948504224258,-22.6193353329895,-15.99052537187772,66.06857565613794
ABGSEC,313135,INF209KC1134,2025-08-22,109.5,922,-0.018261504747987604,-1.048255919031264,-1.3513513513513513,4.176576919417753,7.279318115019112,,
ABIN-RE1,313319,INE00YB20025,2025-04-15,36.04,120130,-9.1046658259773,,,,,,
