Symbol,Fincode,ISIN,Latest_Date,Latest_Close,Latest_Volume,Turnover,1_Week,1_Month,3_Months,6_Months,9_Months,1_Year,3_Years,5_Years,Raw_Score,Normalized_Score
20MICRONS,207635,INE144J01027,2025-09-10,226.66,106283.0,23343289.566666666,-2.5160208163089735,-2.27223731298237,-0.648724467432274,17.040173499948363,-10.942595575812343,-27.468799999999998,118.88942539835827,673.5836177474403,-554.5712240897678,27.498604919039423
21STCENMGM,126921,INE253B01015,2025-09-10,53.99,8462.0,588296.5743333333,-0.2402069475240123,-3.070017953321366,-18.456426521673453,-17.509549274255157,-41.86497254226338,-61.05460578518357,103.73584905660378,426.7317073170732,-3764.140232759208,5.9801903766315405
360ONE,228974,INE466L01038,2025-09-10,1078.0,1184367.0,1248766955.625,3.633916554508744,3.375527426160342,-0.3144072498612993,24.645892351274785,-9.152199561773127,0.64889594323328,146.51269151612166,340.60695856537063,221.4217896674742,32.70121601945104
3IINFOLTD,132628,INE748C01038,2025-09-10,24.43,1225934.0,30590254.34988889,4.4017094017094065,7.763564181737969,-5.712080277884988,9.64991023339317,-25.267665952890788,-26.349110642146524,-53.51094196003806,,-1516.8787438882373,21.046856390695957
3MINDIA,123395,INE470A01017,2025-09-10,30565.0,4067.0,119615748.06222221,-1.3395739186571982,-2.363839642229676,4.567225453301402,9.629379884721473,-3.282049983861885,-13.491161607227516,33.82253463777285,64.60229414615758,-22.55170162615712,31.065506455695214
3PLAND,116092,INE105C01023,2025-09-10,46.03,2682.0,128405.96499999997,0.4802444881030318,-3.783444816053516,-18.502124645892344,12.57031058938616,-28.746130030959744,4.971493728620295,155.72222222222223,557.5714285714286,-1160.8762299181035,23.433659619745228
5PAISA,228972,INE618L01018,2025-09-10,369.5,12566.0,4906464.511111111,1.91697696869397,-1.4666666666666666,-8.93407270486753,12.85888821014051,-25.202429149797574,-27.442317133038785,6.761051719156306,0.98387537578574,-1444.1564543541876,21.53441978890917
63MOONS,126881,INE111B01023,2025-09-10,932.85,160304.0,135685001.49777776,1.435328657641499,-0.5490405117270765,2.5560686015831133,37.3858615611193,9.37390080900458,119.59745762711864,414.95997791885173,1157.210242587601,3770.9438440873873,56.49883083568179
A2ZINFRA,207654,INE619I01012,2025-09-10,19.49,29321.0,546422.8981111113,-11.166818596171389,-0.40878896269801657,6.560962274466918,12.65895953757224,-7.805108798486292,14.647058823529402,54.68253968253968,342.9545454545454,465.32275945909555,34.336439365979786
AAATECH,299993,INE0D0U01013,2025-09-10,79.46,23442.0,2023366.276333333,0.518659076533835,-5.528474616573542,-11.544027607703446,17.197640117994094,-30.028178936245165,-41.310288795332,-11.711111111111117,,-1830.707874433445,18.94280275972113
