Symbol,Fincode,ISIN,Latest_Date,Latest_Close,Latest_Volume,Turnover,1_Week,1_Month,3_Months,6_Months,9_Months,1_Year,3_Years,5_Years,Raw_Score,Normalized_Score
DECCANCE,102137,INE583C01021,12-09-2025,1070.8,138231,113876694.5,-1.053409721,0.112191473,45.31143982,30.54556538,65.65594059,66.6614786,95.25893508,265.5855241,5854.770411,68.03095089
DEEDEV,313121,INE841L01016,12-09-2025,288.35,352554,94558821.72,5.218025908,1.674894217,0.593057736,26.05464481,-16.99769718,-13.35637019,,,-297.5916696,28.01748097
DEEPAKFERT,100645,INE501A01019,12-09-2025,1400.7,293158,388680358.4,-0.213720881,-2.35622168,-9.882262112,25.26941824,8.813361818,38.75185736,51.40247527,795.0439377,1535.81274,39.94149832
DEEPAKNTR,106401,INE288B01029,12-09-2025,1749.6,181602,368262069.7,0.005715919,-6.603320344,-8.393109587,-10.21246023,-35.01346457,-40.14471186,-22.46399291,138.6414786,-2602.538862,13.02666379
DEEPINDS,301999,INE0FHS01024,12-09-2025,533.1,174151,85051817,-2.887330358,-0.984398217,20.37936096,18.30892144,-8.244406196,19.75738515,363.8677398,,1042.422497,36.73260792
DELHIVERY,289108,INE148O01028,12-09-2025,467.75,842774,294422207.3,-0.213333333,0.139156498,29.91251215,93.47700199,19.00521562,11.88853008,-18.7228497,,4081.325515,56.49689567
DELPHIFX,223077,INE726L01019,12-09-2025,223.28,414,71024.966,4.92481203,7.001485599,65.35584685,71.89929941,3.212684325,-13.60804798,-47.6053033,-52.25999572,3217.710214,50.88015133
DELTACORP,132848,INE124G01033,12-09-2025,81.9,2536713,235057181.9,-3.544929926,-3.850669171,-9.990108803,-6.131805158,-32.9732384,-36.45251397,-61.38613861,-22.95390405,-2412.520973,14.26249403
DELTAMAGNT,104286,INE393A01011,12-09-2025,89.05,951,79145.44283,-0.369210114,6.851451884,-9.29000713,48.68926365,-24.09648824,-14.05269762,16.63392272,357.840617,-328.4465877,27.81680807
DEN,219237,INE947J01015,12-09-2025,35.65,216059,7802082.542,-0.83449235,1.048752834,-2.462380301,15.78434557,-18.38369963,-30.34388433,-3.256445047,-51.49659864,-1019.664069,23.32129732
DENORA,190031,INE244A01016,12-09-2025,830.2,8590,7546188.536,0.018071201,0.526730036,-7.317890036,16.28265285,-37.70541007,-47.84684487,0.679117148,286.6790871,-2246.30153,15.34354495
DENTA,313278,INE0R4L01018,12-09-2025,388.2,254426,,-6.783527434,13.92516508,30.72907897,31.9510537,,,,,3569.379165,53.16732085
DEVIT,285304,INE060X01034,12-09-2025,43,82209,4025600.264,-1.736745887,-3.431548688,-3.057083596,-7.006920415,-31.14712099,-17.54237938,-2.560616361,291.7995444,-1814.017041,18.15501836
DEVYANI,208045,INE872J01023,12-09-2025,187.23,2241135,382844501,4.178722457,17.85849175,12.98654276,22.86239255,13.2462348,0.294621813,-2.050745488,,1253.380293,38.10462623
DGCONTENT,295246,INE03JI01017,12-09-2025,36.81,32746,1485567.771,2.763819095,-9.6021611,-21.69751117,-18.2363394,-41.2825012,-2.901609074,121.746988,224.3171806,-2611.656883,12.9673624
DHAMPURSUG,100119,INE041A01016,12-09-2025,135.05,131400,18426097.9,-1.738940629,2.981546439,-14.82719475,13.89896264,-25.28767426,-36.3422107,-42.02618588,-5.559440559,-1791.372452,18.30229327
DHANBANK,132180,INE680A01011,12-09-2025,25.87,742313,20623355.46,3.728949479,-3.8647343,-13.91014975,11.07771576,-20.38550105,-16.8770655,154.0051425,140.5860029,-1185.124859,22.2451805
DHANI,200101,INE274G01010,12-09-2025,65.15,10198142,687435222.8,1.227470479,8.061038315,-11.91184424,16.33928571,-29.46844213,24.85626677,13.40295909,-70.13522805,-651.5366963,25.71550841
DHANUKA,107717,INE435G01025,12-09-2025,1564,21929,32732535.05,-2.518075293,-2.31105559,-6.167506599,40.36347319,-2.563623337,-1.418216199,117.1317507,112.6300048,747.1004631,34.81190508
DHARAN,273610,INE278R01034,12-09-2025,0.51,5429898,,10.86956522,24.3902439,,,,,,,2439.02439,45.8157677
DHARMAJ,305121,INE00OQ01016,12-09-2025,343.3,26780,7032148.298,-7.814178303,4.98470948,20.45191397,73.7172351,10.58141408,-0.923520924,,,2709.167776,47.57271473
DHRUV,288547,INE506Z01015,12-09-2025,56.71,66912,5496921.168,-3.701816947,-11.40446805,-17.21167883,-33.62593633,-58.14142309,-56.10681115,-8.087520259,,-4604.688845,0.005166185
DHUNINV,222629,INE320L01011,12-09-2025,1422.6,345,542804.4083,0.444821012,-3.565618221,-2.854411363,-8.810615044,-36.53073972,-39.05667652,105.6820646,537.0801612,-2498.332597,13.70439605
DIACABS,122163,INE989C01038,12-09-2025,150.47,7715247,925505599.6,4.340891755,1.122311828,49.61718206,68.87766554,-8.277964035,10.63970588,,,2832.823628,48.37694238
DIAMINESQ,100120,INE591D01014,12-09-2025,360.8,2288,905216.0578,-2.919413427,-2.076265436,-5.623855611,0.473405737,-31.01997897,-34.85600794,,,-2045.91791,16.64679138
DIAMONDYD,273894,INE393P01035,12-09-2025,1051.55,135104,144652250,4.96606109,13.24036184,-3.554067688,-2.854635318,5.212867077,29.00871059,31.88887495,67.64447987,496.0677013,33.17924891
DICIND,100089,INE303A01010,12-09-2025,564.4,923,593643.3461,-1.869077632,-4.895104895,-13.40902117,-15.87419884,-23.27873309,-21.74696707,44.71794872,48.82003955,-2049.218116,16.62532764
DIFFNKG,313204,INE184O01015,12-09-2025,391.65,398793,119983210.4,0.797838116,17.31316459,29.85742706,44.78743068,7.286673058,,,,2480.5709,46.08597612
DIGIDRIVE,313032,INE0PSC01024,12-09-2025,32.94,102788,3426437.98,0.980993256,7.823240589,5.340582028,12.11708645,-33.45454545,-28.56213403,,,-1551.215193,19.86421781
DIGISPICE,117214,INE927C01020,12-09-2025,26.03,94143,2185691.88,5.171717172,15.12605042,6.028513238,35.50234253,-18.40125392,-22.62187872,-12.79731993,231.5923567,-301.4768411,27.99221276
DIGITIDE,313354,INE0U4701011,12-09-2025,193.41,176202,,-0.20123839,-5.878631564,-16.93080789,,,,,,-2429.892543,14.14951355
DIGJAMLMTD,282016,INE731U01028,12-09-2025,58.78,9827,454129.6916,4.75851007,8.65064695,60.03267084,52.04345577,-33.89563653,-29.61321997,-61.4430961,1962.45614,767.3068352,34.94332242
DIL,288694,INE411Y01011,12-09-2025,1.91,260347,622851.2701,1.058201058,-2.051282051,-22.67206478,-10.74766355,-45.73863636,-67.73648649,-87.96844721,-68.60292001,-3999.255572,3.942757267
DISHTV,132839,INE836F01026,12-09-2025,5.61,5761860,36429679.95,3.696857671,13.56275304,10.43307087,-6.965174129,-49.68609865,-59.78494624,-66.60714286,-60.76923077,-3232.072983,8.932326647
DIVGIITTS,256461,INE753U01022,12-09-2025,650.9,10233,5751710.633,-3.14708727,0.207836194,8.167843789,46.05632223,-5.351170569,4.252422519,,,1224.527416,37.91697412
DIVISLAB,132488,INE361B01024,12-09-2025,6026.5,487571,2990542868,0.291229822,-1.213015327,-9.607019649,7.224510493,2.903636162,9.916466039,64.3172647,91.52114153,267.0421916,31.68972258
DIVOPPBEES,255652,INF204KA1MS3,12-09-2025,78.08,47533,3663307.573,1.932114883,2.145473574,-0.408163265,7.741134262,-8.249118684,-11.00980169,66.05699702,178.8571429,-388.2912419,27.42759296
DIXON,210072,INE935N01020,12-09-2025,18103,107442,1669362347,1.388966676,13.48420261,26.49710013,35.86709747,-3.870049597,40.85087842,293.67613,879.5995671,2086.478498,43.52289478
DJML,297816,INE0B1K01014,12-09-2025,100.48,24870,3062862.087,4.666666667,-7.799596256,-8.027459954,-7.391705069,-44.55052149,-24.85791206,,,-2586.662264,13.12992134
DLF,132868,INE271C01023,12-09-2025,758.4,1594096,1196828679,0.377208656,0.098990299,-10.90748899,15.24084486,-15.10130975,-9.271443953,85.5412844,391.5100454,-682.1372753,25.51648967
DLINKINDIA,219321,INE250K01012,12-09-2025,483.8,51401,24916834.64,1.52135138,-4.368452263,-10.42399556,19.79695431,-20.66901697,-28.53238792,142.2633951,360.5425988,-1119.399946,22.67263938
DMART,223595,INE192R01011,12-09-2025,4616.6,384352,1551079187,-3.686395594,6.505790615,13.93667168,21.58226015,27.39665544,-11.87256016,2.745228955,106.1580369,1681.330404,40.8879099
DMCC,106405,INE505A01010,12-09-2025,302.55,24673,7482683.514,-1.833225178,-8.952753536,14.79795105,4.79736751,-20.1609711,4.779220779,-30.32815199,,-131.4439292,29.09806555
DNAMEDIA,208058,INE016M01021,12-09-2025,4.92,89428,463311.5633,4.680851064,-0.4048583,-3.90625,-2.574257426,-21.78060413,-14.43478261,32.97297297,884,-1317.88392,21.38174778
DODLA,222414,INE021O01019,12-09-2025,1427.4,17185,20906373.56,-2.386651166,8.928571429,7.258791704,43.76070098,13.78691857,16.48441325,164.3333333,,2067.366611,43.3985957
DOLATALGO,105526,INE966A01022,12-09-2025,85.17,191975,17991715.69,4.336640941,-3.468208092,-18.06637807,21.30750605,-34.76062811,-51.38976086,17.15268226,64.89835431,-2302.510061,14.97797831
